year,month,positive,neutral,negative,exception
2013,4,0.0,0.0,0.0,0.0
2013,5,0.0,0.0,0.0,0.0
2013,6,0.0,0.0,0.0,0.0
2013,7,0.0,0.0,0.0,0.0
2013,8,0.0,0.0,0.0,0.0
2013,9,0.0,0.0,0.0,0.0
2013,10,0.0,0.0,0.0,0.0
2013,11,0.0,0.0,0.0,0.0
2013,12,0.0,0.0,0.0,0.0
2014,1,0.0,0.0,0.0,0.0
2014,2,0.0,0.0,0.0,0.0
2014,3,0.0,0.0,0.0,0.0
2014,4,0.0,0.0,0.0,0.0
2014,5,0.0,0.0,0.0,0.0
2014,6,0.0,0.0,0.0,0.0
2014,7,0.0,0.0,0.0,0.0
2014,8,0.0,0.0,0.0,0.0
2014,9,0.0,0.0,0.0,0.0
2014,10,0.0,0.0,0.0,0.0
2014,11,0.0,0.0,0.0,0.0
2014,12,0.0,0.0,0.0,0.0
2015,1,0.0,0.0,0.0,0.0
2015,2,0.0,0.0,0.0,0.0
2015,3,0.0,0.0,0.0,0.0
2015,4,0.0,0.0,0.0,0.0
2015,5,0.0,0.0,0.0,0.0
2015,6,0.0,0.0,0.0,0.0
2015,7,0.0,0.0,0.0,0.0
2015,8,0.0,0.0,0.0,0.0
2015,9,0.0,0.0,0.0,0.0
2015,10,0.0,0.0,0.0,0.0
2015,11,0.0,0.0,0.0,0.0
2015,12,0.0,0.0,0.0,0.0
2016,1,0.0,0.0,0.0,0.0
2016,2,0.0,0.0,0.0,0.0
2016,3,0.0,0.0,0.0,0.0
2016,4,0.0,0.0,0.0,0.0
2016,5,0.0,0.0,0.0,0.0
2016,6,0.0,0.0,0.0,0.0
2016,7,0.0,0.0,0.0,0.0
2016,8,0.0,0.0,0.0,0.0
2016,9,0.0,0.0,0.0,0.0
2016,10,0.0,0.0,0.0,0.0
2016,11,0.0,0.0,0.0,0.0
2016,12,0.0,0.0,0.0,0.0
2017,1,0.0,0.0,0.0,0.0
2017,2,0.0,0.0,0.0,0.0
2017,3,0.0,0.0,0.0,0.0
2017,4,0.0,0.0,0.0,0.0
2017,5,0.0,0.0,0.0,0.0
2017,6,0.0,0.0,0.0,0.0
2017,7,0.0,0.0,0.0,0.0
2017,8,0.0,0.0,0.0,0.0
2017,9,0.0,0.0,0.0,0.0
2017,10,0.0,0.0,0.0,0.0
2017,11,0.0,0.0,0.0,0.0
2017,12,0.0,0.0,0.0,0.0
2018,1,0.0,0.0,0.0,0.0
2018,2,0.0,0.0,0.0,0.0
2018,3,0.0,0.0,0.0,0.0
2018,4,0.0,0.0,0.0,0.0
2018,5,0.0,0.0,0.0,0.0
2018,6,0.0,0.0,0.0,0.0
2018,7,0.0,0.0,0.0,0.0
2018,8,0.0,0.0,0.0,0.0
2018,9,0.0,0.0,0.0,0.0
2018,10,0.0,0.0,0.0,0.0
2018,11,0.0,0.0,0.0,0.0
2018,12,0.0,0.0,0.0,0.0
2019,1,0.0,0.0,0.0,0.0
2019,2,6.0,7.0,4.0,0.0
2019,3,0.0,0.0,0.0,0.0
2019,4,4.0,12.0,6.0,0.0
2019,5,0.0,0.0,0.0,0.0
2019,6,0.0,0.0,0.0,0.0
2019,7,0.0,0.0,0.0,0.0
2019,8,0.0,0.0,0.0,0.0
2019,9,0.0,0.0,0.0,0.0
2019,10,0.0,0.0,0.0,0.0
2019,11,0.0,0.0,0.0,0.0
2019,12,0.0,0.0,0.0,0.0
2020,1,88.0,136.0,134.0,11.0
2020,2,143.0,132.0,149.0,11.0
2020,3,142.0,142.0,187.0,17.0
2020,4,110.0,106.0,167.0,11.0
2020,5,127.0,143.0,215.0,11.0
2020,6,147.0,206.0,246.0,15.0
2020,7,165.0,170.0,155.0,14.0
2020,8,149.0,136.0,161.0,10.0
2020,9,160.0,155.0,159.0,12.0
2020,10,47.0,32.0,53.0,3.0
2020,11,0.0,0.0,0.0,0.0
2020,12,0.0,0.0,0.0,0.0
2021,1,0.0,0.0,0.0,0.0
2021,2,0.0,0.0,0.0,0.0
2021,3,0.0,0.0,0.0,0.0
2021,4,0.0,0.0,0.0,0.0
2021,5,0.0,0.0,0.0,0.0
2021,6,0.0,0.0,0.0,0.0
2021,7,0.0,0.0,0.0,0.0
2021,8,0.0,0.0,0.0,0.0
2021,9,0.0,0.0,0.0,0.0
